State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,75.2,20.7,2.9,0.6,0,0.6
AZ,82.2,15.6,1.3,0.9,0,0
AR,53.6,28.8,13.6,1.8,0,2.3
BD,75,21.3,3.2,0.3,0,0.2
BG,63.8,28.2,5.9,2.1,0,0
BY,55.7,36,6.5,1.5,0.1,0.1
CL,86.4,12.4,0.9,0.2,0,0.1
CN,38.8,41.7,13.1,2.2,0,4.3
CO,68.7,26,3.4,1,1,0
CZ,66.9,29.9,2.4,0.4,0,0.4
SV,93.4,5.5,0.4,0.1,0,0.6
EE,68.1,27.3,1.4,0.9,2.2,0.1
FI,44.5,36.2,12.2,3.9,0,3.2
GER,56.2,38.2,4.7,0.4,0.4,0
IN,77.5,16.9,2.9,1.4,1.4,0
JP,65.4,28,2.8,2.2,0,1.6
KR,49.7,37.8,7,1.5,0,3.9
LV,53.6,24.3,8.3,4.3,0,9.5
