State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,0,0,0,0,0,0
AR,40.7,37.7,18.8,2.8,0,0
BD,0,0,0,0,0,0
BG,0,0,0,0,0,0
BY,0,0,0,0,0,0
CL,0,0,0,0,0,0
CN,0,0,0,0,0,0
CO,0,0,0,0,0,0
CZ,53.9,33.6,10.5,1.7,0.2,0
SV,35.1,43.6,18,2.2,0.3,0.8
EE,46.6,44.4,6.7,0.4,0.8,1.1
FI,30.7,40.7,25.2,3.3,0.1,0
GER,50.9,39,9,0.9,0.1,0.2
IN,44.9,40.4,9.5,3.5,0,1.6
JP,45,47,5.4,0.4,0,2.2
KR,49.3,46,3.8,0.2,0.7,0
LV,38.6,39.4,17.4,4.6,0,0
MX,57,35.2,4.9,0.1,2.7,0.1
MD,62.2,32.3,5.1,0.4,0,0
NZ,23.5,32.4,40.4,2.6,0.6,0.5
NG,30.8,58.9,8.6,1.6,0,0.1
NO,38.3,55.2,5,1.2,0,0.2
PE,22.4,52.2,22.1,3.1,0.1,0
PH,34.6,45.8,15.2,3.5,0.2,0.5
PL,44.2,47.9,7.5,0.4,0.1,0
RO,44.7,37.1,13.4,4.4,0,0.3
RU,52.4,42.8,3.5,0.1,1.1,0.1
SK,0,0,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,67.8,29.5,2.2,0.3,0.2,0
UA,58,38.9,2.3,0.4,0,0.4
MKD,44,41.6,12.3,2,0,0
USA,53.5,39.8,5.1,0.8,0.8,0
