State,Very good,Good,Fair,Poor,Very poor,DK
AL,24.6,50.3,21.5,3.5,0,0.1
AZ,24.9,39.6,28.3,6.4,0.3,0.5
AR,11.5,46.8,36.8,4.7,0,0.2
BD,19.8,48.9,26.9,4.4,0,0.1
BG,29.8,31.2,26.4,12.4,0,0
BY,20.4,41.7,26.5,10.6,0,0.8
CL,14.6,39.3,36.8,7.8,0,1.5
CN,14,63.5,21.4,1.1,0,0
CO,19.3,42,34.3,4.1,0,0.3
CZ,3.4,26.2,38.5,31.3,0,0.6
SV,59,30.5,9.5,1,0,0
EE,0,0,0,0,0,0
FI,0,0,0,0,0,0
GER,0,0,0,0,0,0
IN,0,0,0,0,0,0
JP,0,0,0,0,0,0
KR,0,0,0,0,0,0
LV,0,0,0,0,0,0
MX,0,0,0,0,0,0
MD,0,0,0,0,0,0
NZ,0,0,0,0,0,0
NG,0,0,0,0,0,0
NO,0,0,0,0,0,0
PE,0,0,0,0,0,0
PH,0,0,0,0,0,0
PL,0,0,0,0,0,0
RO,0,0,0,0,0,0
RU,0,0,0,0,0,0
SK,0,0,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,11.3,37.9,47.9,2.9,0,0.1
SE,18.9,38.3,35.7,7.1,0,0
SZ,46.6,31.3,18.3,3.7,0,0.1
TR,19.6,55.7,19.6,4.8,0,0.2
UA,18.4,46.5,24.8,7.5,2.5,0.3
MKD,22.9,48.1,21.1,7.7,0,0.2
USA,41.9,41.8,13.5,2.6,0,0.1
