State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,32,51.2,14.5,1.6,0,0.7
AZ,49.7,30.4,15.9,2.8,0,1.2
AR,31.9,48.2,18.1,1.2,0,0.6
BD,29.1,41.5,20.2,8.5,0,0.7
BG,19.9,61.9,14.3,1.7,2,0.2
BY,39.2,38.3,15.3,5.6,0,1.6
CL,0,0,0,0,0,0
CN,0,0,0,0,0,0
CO,0,0,0,0,0,0
CZ,0,0,0,0,0,0
SV,0,0,0,0,0,0
EE,0,0,0,0,0,0
FI,0,0,0,0,0,0
GER,0,0,0,0,0,0
IN,0,0,0,0,0,0
JP,0,0,0,0,0,0
KR,0,0,0,0,0,0
LV,0,0,0,0,0,0
MX,46.6,45,5.2,0.1,0,3
MD,44.8,50.7,4.1,0.3,0,0.2
NZ,37.8,38.3,17.1,5.7,0,1.1
NG,34.9,46.9,15,1.8,0,1.5
NO,63.6,26.6,8.7,1,0,0
PE,24.6,32.6,39.7,2.9,0,0.3
PH,36.8,51.4,10.2,1.4,0,0.2
PL,0,0,0,0,0,0
RO,0,0,0,0,0,0
RU,0,0,0,0,0,0
SK,0,0,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,34.3,35.5,24.4,5.8,0,0.1
SZ,46.9,45.2,6.4,0.9,0,0.6
TR,70.7,26.9,2.2,0.2,0,0
UA,72.6,23.3,2.4,0.8,0.9,0
MKD,49.2,44.1,4.6,1.1,0,1
USA,64.2,31.5,3.8,0.3,0,0.1
