State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,46.3,26.3,18.2,8.6,0,0.6
AR,87.5,10.7,1.1,0.3,0,0.4
BD,46.3,33.4,14.2,5.4,0,0.8
BG,0,0,0,0,0,0
BY,0,0,0,0,0,0
CL,0,0,0,0,0,0
CN,0,0,0,0,0,0
CO,0,0,0,0,0,0
CZ,0,0,0,0,0,0
SV,0,0,0,0,0,0
EE,0,0,0,0,0,0
FI,0,0,0,0,0,0
GER,27.5,31.2,25.2,14.2,0,1.9
IN,0,0,0,0,0,0
JP,0,0,0,0,0,0
KR,0,0,0,0,0,0
LV,0,0,0,0,0,0
MX,0,0,0,0,0,0
MD,0,0,0,0,0,0
NZ,0,0,0,0,0,0
NG,0,0,0,0,0,0
NO,0,0,0,0,0,0
PE,2.5,6.3,25.3,59.9,0,6
PH,55.8,23.4,11.6,7.1,0,2
PL,6.4,13.1,31.6,36.4,0,12.4
RO,23.2,28.9,31.3,16.4,0,0.1
RU,67.7,19.8,8.9,3.1,0,0.5
SK,33.9,39.5,17.7,5.2,0,3.8
SI,92.8,6.1,0.7,0.2,0,0.1
ZA,52.5,31.4,13.9,2.1,0,0.1
ESP,86.8,10.6,2.3,0.3,0,0
SE,69.7,21.8,5.3,3.1,0,0.1
SZ,21.9,27.3,30.9,19.3,0,0.5
TR,10.6,24.2,42.3,22.2,0,0.7
UA,80.3,13.1,3.7,2.7,0.2,0
MKD,47,30.2,15.2,6.2,0,1.3
USA,56.9,25.4,12.4,4.9,0,0.3
