State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,3.7,18.3,39.9,35.3,0,2.7
AZ,9.6,27.3,41.6,20.8,0,0.7
AR,10.1,20.5,31.7,36.7,0,0.9
BD,13.4,35.2,36.7,12.9,0,1.8
BG,6.9,17.8,41.1,31.1,0,3.1
BY,6.9,13,35,42.8,0,2.3
CL,23.7,35.3,27.4,7.4,0,6.2
CN,9.4,22.7,50.2,16.8,0,1
CO,3.2,22.3,44.7,28.6,1.1,0
CZ,17,19.2,21.1,37.8,0,4.9
SV,4.6,23.4,46.4,24.4,0,1.2
EE,3.1,16.2,50.4,28.9,0,1.4
FI,10.9,39.7,39,9.5,0,0.9
GER,10.9,21.8,33.5,30.6,0,3.1
IN,18.3,42.8,29.3,3.4,0,6.2
JP,19.2,45.6,28.2,5.8,0.2,1
KR,5.1,20.9,42.8,28.2,0,3
LV,17.2,27.3,35.4,18.3,0,1.9
MX,6.6,21.1,42.7,27,0,2.5
MD,7,34.7,41.1,11.7,4.2,1.3
NZ,21.4,21.4,31.3,23.3,0,2.7
NG,6,38.9,45.1,10,0,0
NO,13.1,22.7,36.4,22.1,0,5.6
PE,14.6,34,31.1,19.4,0,0.9
PH,6.9,23.2,37.4,30.4,0,2.1
PL,6.9,17.6,37.3,36.5,0,1.7
RO,8.1,19.5,42.7,28.9,0,0.8
RU,3.7,24.4,45.2,25.1,0,1.6
SK,2.9,11.9,47.2,37.5,0,0.5
SI,18.7,25.3,26.4,26.2,0,3.4
ZA,7.8,15.3,32.1,42.7,0,2.1
ESP,11,36.2,41,11.6,0,0.2
SE,6.4,31.4,41.9,19,0,1.2
SZ,24.2,27.4,23.4,24.2,0,0.8
TR,6.4,21.9,39.2,26.9,0,5.6
UA,9.8,21.4,34.1,31.3,0,3.4
MKD,17.8,40.4,31.9,8.8,0,1
USA,13.1,22.7,36.4,22.1,0,5.6
