State,Very happy,Quite happy,Not very happy,Not at all happy,NA,DK
AL,0,0,0,0,0,0
AZ,0,0,0,0,0,0
AR,27.2,53.4,16.8,2.6,0,0
BD,0,0,0,0,0,0
BG,0,0,0,0,0,0
BY,0,0,0,0,0,0
CL,0,0,0,0,0,0
CN,0,0,0,0,0,0
CO,0,0,0,0,0,0
CZ,33.3,53.1,11.6,1,0.5,0.5
SV,24.4,60.1,14.4,0.8,0.2,0.1
EE,15.7,68.8,13.3,1.1,0.5,0.7
FI,56.5,35,7.9,0.5,0.1,0
GER,12.7,64,19.9,1.9,0.1,1.4
IN,37.4,50,10.8,1.4,0,0.3
JP,32.3,54.2,9.4,1,0,3.2
KR,15.2,74.8,9.2,0.7,0.1,0
LV,67.5,26.8,5.3,0.4,0,0
MX,33.7,58.7,4.3,0.7,1.8,0.8
MD,55.6,29.1,11.6,3.7,0,0
NZ,35.1,40.9,22.4,0.9,0,0.7
NG,49.6,39.8,9.6,1.1,0,0
NO,22.2,70.4,5.3,0.5,0.5,1
PE,13.6,55.4,26.4,4,0.3,0.3
PH,14.8,58.5,20.7,1.8,0.3,3.8
PL,0,0,0,0,0,0
RO,0,0,0,0,0,0
RU,0,0,0,0,0,0
SK,0,0,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,19.5,63.8,14.2,1.8,0.5,0.3
SE,39.3,37.1,17.7,5.6,0,0.3
SZ,15.5,70.9,12.2,1.1,0,0.3
TR,40.5,54.1,4.9,0.4,0.2,0
UA,37.5,46.3,11.9,3.8,0.3,0.2
MKD,16.1,52,22.6,4.2,0.7,4.3
USA,36.1,53.5,8.8,1.2,0.5,0
