State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,96,3,1,0,0,0
AZ,0,0,0,0,0,0
AR,90,8,1,0,0,0
BD,0,0,0,0,0,0
BG,97,3,0,0,0,0
BY,60,36,3,0,0,1
CL,0,0,0,0,0,0
CN,90,10,0,0,0,0
CO,91,6,1,0,0,2
CZ,0,0,0,0,0,0
SV,85,12,2,0,0,1
EE,0,0,0,0,0,0
FI,99,1,0,0,0,0
GER,0,0,0,0,0,0
IN,0,0,0,0,0,0
JP,96,3,1,0,0,0
KR,0,0,0,0,0,0
LV,0,0,0,0,0,0
MX,92,6,1,0,0,1
MD,97,2,1,0,0,0
NZ,0,0,0,0,0,0
NG,82,17,1,0,0,0
NO,99,1,0,0,0,0
PE,95,3,2,0,0,0
PH,85,13,1,0,0,0
PL,89,9,2,0,0,0
RO,97,2,0,0,0,0
RU,98,2,0,0,0,0
SK,95,4,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,0,0,0,0,0,0
UA,0,0,0,0,0,0
MKD,0,0,0,0,0,0
USA,0,0,0,0,0,0
