State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,0,0,0,0,0,0
AR,59.4,25.9,11.8,2.3,0.3,0.2
BD,0,0,0,0,0,0
BG,0,0,0,0,0,0
BY,0,0,0,0,0,0
CL,0,0,0,0,0,0
CN,0,0,0,0,0,0
CO,0,0,0,0,0,0
CZ,0,0,0,0,0,0
SV,0,0,0,0,0,0
EE,23.6,35.8,29.4,10.4,0.4,0.3
FI,30.3,52.6,12.7,0.5,0.3,3.5
GER,42.3,41.1,11.5,2.8,0,2.2
IN,44.9,47.9,5.3,0.2,1.7,0
JP,44.5,49.3,6.1,0.1,0,0
KR,36.1,42.4,17.1,3.9,0.3,0.2
LV,23.1,52.5,21.7,2.5,0,0.2
MX,0,0,0,0,0,0
MD,0,0,0,0,0,0
NZ,0,0,0,0,0,0
NG,0,0,0,0,0,0
NO,0,0,0,0,0,0
PE,0,0,0,0,0,0
PH,0,0,0,0,0,0
PL,0,0,0,0,0,0
RO,0,0,0,0,0,0
RU,0,0,0,0,0,0
SK,0,0,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,21.9,30.7,43.4,3.3,0.7,0
SZ,33.9,39.4,17.8,8.7,0,0.2
TR,49.3,44.8,5.1,0.6,0,0
UA,71.3,26.7,1.9,0.1,0,0
MKD,61.8,35.5,1.9,0.8,0,0
USA,59.6,35.3,4.2,0.6,0.3,0
