State,Very good,Good,Fair,Poor,Very poor,DK
AL,30.5,41.4,23.7,3.7,0.2,0.4
AZ,12.5,45.8,36.9,4.2,0.5,0.1
AR,20.4,40.6,27.9,9.6,0.6,0.9
BD,8.5,38.4,44.9,7.5,0.7,0
BG,18.2,39.3,27.4,10.6,4.4,0.1
BY,15.8,45.2,31.8,6.2,0.8,0.1
CL,35.8,32.2,25.9,5.1,0.9,0
CN,25.4,50.4,22.1,1.6,0.4,0.1
CO,12.6,39.8,37.9,7.6,1.8,0
CZ,23.5,43.9,25.4,6.4,0.7,0
SV,5.5,33.6,47.6,11.6,1.6,0.2
EE,29.9,41.4,21.7,5.3,1.1,0.6
FI,16.7,41.9,33.3,6.5,1.5,0
GER,17.7,39.3,35.1,5.9,1.4,0.6
IN,14.4,39.5,38,6.6,1.1,0.4
JP,14.8,64.5,19.3,1.3,0,0.1
KR,3.8,32.2,50.5,11.6,1.5,0.3
LV,17.8,40.7,32.3,7,1.4,0.8
MX,3.3,28.4,42.9,19.3,6.1,0.1
MD,36.5,42,17.4,2.6,1.2,0.1
NZ,36.1,38.5,21.1,2.4,1.6,0.1
NG,40.4,38.9,15.3,4.4,1.1,0
NO,10.2,40.2,46.7,2.4,0.2,0.3
PE,16.7,35.2,42.7,4.7,0.8,0
PH,12.1,28.6,38,13.2,8,0.2
PL,15,37.9,35.8,9.4,1.7,0.2
RO,2.4,23.5,50.6,18.6,4.7,0.2
RU,11.1,41.4,35.6,9.7,2.2,0.1
SK,13.2,32.5,34.7,16.7,3,0
SI,34.2,33.8,21.7,7.5,2.7,0.2
ZA,18.1,52.2,23.5,5,1.2,0.2
ESP,39.2,37.2,17.9,5,0,0.7
SE,37.5,47.5,12.9,1.8,0.3,0.1
SZ,18.2,42.6,31.1,7.3,0.8,0.1
TR,2.9,23.7,49.4,19,4.3,0.7
UA,20.7,51.9,19.2,5.9,1.3,1
MKD,11.1,41.4,35.6,9.7,2.2,0.1
USA,40.2,39,16.7,3.3,0.5,0.3
