State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,0,0,0,0,0,0
AR,7.7,17.7,43.3,31.4,0,0
BD,8.3,22.4,34.9,32.9,1,0.4
BG,7.4,14.7,40.8,35.9,0.5,0.7
BY,10.4,28.3,46.5,7.2,0.9,6.8
CL,9.8,14.7,38.2,36.8,0,0.5
CN,5.5,23.3,48,22.7,0.1,0.4
CO,17,26.2,26.8,25.9,0,4.1
CZ,23.5,42.6,23.9,2.7,0,7.2
SV,13.3,41.9,33.6,9.9,1.3,0
EE,17,28,31.8,23.3,0,0
FI,7.3,39.7,37.3,10.9,4.8,0
GER,21,28.1,33.4,17.4,0,0
IN,12.7,21.2,42,21.5,1.2,1.4
JP,24.3,39.4,20.2,15.7,0,0.4
KR,0,0,0,0,0,0
LV,0,0,0,0,0,0
MX,0,0,0,0,0,0
MD,0,0,0,0,0,0
NZ,0,0,0,0,0,0
NG,0,0,0,0,0,0
NO,0,0,0,0,0,0
PE,0,0,0,0,0,0
PH,0,0,0,0,0,0
PL,0,0,0,0,0,0
RO,0,0,0,0,0,0
RU,0,0,0,0,0,0
SK,5.3,27.5,44.9,21.8,0,0.5
SI,5.7,17,38,38.1,0.5,0.7
ZA,6.9,20.2,40.1,30.3,0.3,1.9
ESP,2,9.9,47,40.8,0.2,0.2
SE,21.4,24.2,28.9,23.7,0,1.8
SZ,5.9,15.8,41,36.5,0.3,0.4
TR,17.3,45.3,27.8,8.9,0.4,0.2
UA,16.1,31.3,32.3,19.2,0.2,0.9
MKD,7.4,21.1,42,29.5,0,0
USA,11.2,41.8,34.9,11,1.1,0
