State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,81.5,12.5,3.4,1.5,0,1.1
AR,73.4,22.2,2.6,1.2,0,0.7
BD,0,0,0,0,0,0
BG,0,0,0,0,0,0
BY,91.3,7.6,0.5,0.1,0,0.5
CL,74.8,19.5,2.9,1.4,0,1.4
CN,0,0,0,0,0,0
CO,0,0,0,0,0,0
CZ,49,42.5,6,1.1,1.4,0
SV,0,0,0,0,0,0
EE,76.5,17.5,2.9,1.5,0,1.5
FI,46.6,37.6,9,1.8,0,4.9
GER,0,0,0,0,0,0
IN,62.3,30.5,5.1,2.1,0,0.1
JP,86.1,10.1,1.9,1,0,0.9
KR,40.1,34.7,12.9,5.3,0,6.9
LV,88.2,8.2,1.9,1.3,0,0.4
MX,0,0,0,0,0,0
MD,0,0,0,0,0,0
NZ,68.2,29.2,1.9,0,0,0.7
NG,93.4,5.6,0.7,0.3,0,0
NO,79.3,13.3,5.1,1.5,0,0.8
PE,55.5,33.9,6.3,3.7,0,0.7
PH,0,0,0,0,0,0
PL,0,0,0,0,0,0
RO,54.1,36.5,5.6,3.3,0,0.6
RU,69.8,18.3,5.7,5.5,0.8,0
SK,75.7,17.9,4.9,0.7,0,0.9
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,53.6,35.8,7,3.3,0,0.3
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,0,0,0,0,0,0
UA,0,0,0,0,0,0
MKD,0,0,0,0,0,0
USA,0,0,0,0,0,0
