State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,96,3,0,0,0,1
AZ,85,13,1,0,0,1
AR,87,12,1,0,0,0
BD,94,5,1,0,0,0
BG,88,10,1,0,0,1
BY,84,13,2,0,0,1
CL,89,9,1,0,0,1
CN,77,22,1,0,0,0
CO,86,14,0,0,0,0
CZ,91,7,2,0,0,0
SV,97,3,1,0,0,0
EE,78,20,2,0,0,1
FI,80,16,2,0,0,1
GER,78,18,3,1,0,0
IN,91,8,1,0,0,0
JP,90,8,1,0,0,1
KR,90,9,0,0,0,0
LV,68,25,5,2,0,0
MX,74,22,3,0,0,0
MD,79,18,2,1,0,0
NZ,93,6,1,0,1,0
NG,98,2,0,0,0,0
NO,88,11,2,0,0,0
PE,87,11,1,0,0,0
PH,96,4,0,0,0,0
PL,90,10,0,0,0,1
RO,89,9,2,0,0,0
RU,84,13,3,1,0,0
SK,91,8,1,0,0,0
SI,82,15,2,1,0,1
ZA,93,5,2,0,0,0
ESP,82,17,1,0,0,0
SE,90,8,1,0,0,0
SZ,81,16,3,0,0,0
TR,97,3,0,0,0,0
UA,86,11,1,1,0,1
MKD,98,2,0,0,0,1
USA,95,4,1,0,0,0
