State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,67.3,16,11.7,5,0,0
AR,57.4,29.8,7,4.4,0.9,0.4
BD,70.9,22.3,3.4,2,0.1,0.7
BG,45.2,32.4,12.4,9.1,0,0.9
BY,56.3,32.5,5.8,2.9,1.4,1.1
CL,38.1,41.5,13.3,2.7,1.5,2.9
CN,76.3,22.1,0.9,0.7,0.1,0.1
CO,53,29.3,8.8,7.8,0.5,0.6
CZ,77.3,16.8,2.5,1.7,0,1.7
SV,52.1,32.1,8.4,1.9,0,5.4
EE,60.8,29.8,4.8,3.4,1.2,0
FI,87,8.5,2.8,1.7,0,0
GER,35,46.1,8.1,5,5.2,0.6
IN,76.8,16.3,3.9,2.9,0,0
JP,69.1,25.6,3.2,0.6,1.3,0.3
KR,90.5,7.5,1.4,0.4,0,0.1
LV,64.2,25,4,3.8,1.1,1.8
MX,55.9,34.3,6.4,2.8,0.2,0.3
MD,45,29.3,9.4,9.7,0.5,1.2
NZ,41.3,46.9,8.8,1.8,0.8,0.4
NG,57.5,22.6,9.4,6.1,0,4.4
NO,62.4,22.3,7.8,6.3,0.8,0.4
PE,50.3,34.6,7.5,2.5,0.1,0.3
PH,49.6,31.7,11.9,5.7,0.2,0.9
PL,52.6,26.2,12,9.2,0,0
RO,0,0,0,0,0,0
RU,69.8,18.3,5.7,5.5,0.8,0
SK,75.7,17.9,4.9,0.7,0,0.9
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,53.6,35.8,7,3.3,0,0.3
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,0,0,0,0,0,0
UA,0,0,0,0,0,0
MKD,0,0,0,0,0,0
USA,35.6,44.3,12.9,6.6,0.6,0
