State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,91,8,1,0,0,0
AZ,89,9,1,0,0,0
AR,90,9,1,0,0,0
BD,78,19,1,0,0,1
BG,87,11,1,0,1,0
BY,90,9,1,0,0,1
CL,91,6,1,0,2,0
CN,92,8,0,0,0,0
CO,95,4,0,0,0,0
CZ,83,16,1,0,0,0
SV,93,6,1,0,0,0
EE,90,9,1,0,0,0
FI,81,17,2,0,0,0
GER,94,5,0,0,0,0
IN,85,12,1,0,1,1
JP,89,9,1,0,0,1
KR,89,9,1,1,0,0
LV,96,4,1,0,0,0
MX,89,10,1,0,0,0
MD,92,7,1,0,0,0
NZ,86,13,2,0,0,0
NG,98,2,0,0,0,0
NO,87,11,1,0,0,1
PE,94,5,1,0,0,0
PH,0,0,0,0,0,0
PL,0,0,0,0,0,0
RO,0,0,0,0,0,0
RU,0,0,0,0,0,0
SK,0,0,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,0,0,0,0,0,0
UA,0,0,0,0,0,0
MKD,0,0,0,0,0,0
USA,0,0,0,0,0,0
