State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,8.1,22.7,32.5,34.6,0,2.1
AR,8.9,14.9,29.6,46.1,0,0.5
BD,0,0,0,0,0,0
BG,0,0,0,0,0,0
BY,0,0,0,0,0,0
CL,0,0,0,0,0,0
CN,0,0,0,0,0,0
CO,0,0,0,0,0,0
CZ,0,0,0,0,0,0
SV,0,0,0,0,0,0
EE,19.7,29.3,35.6,12.1,0,3.4
FI,9.1,21,25.6,42,0,2.3
GER,15.1,47.7,26.6,3.5,7,0.1
IN,17.9,19.7,26.7,29,0,6.7
JP,20.3,42.4,25.1,4,0,8.3
KR,15,36.3,38.8,9.8,0,0.1
LV,17.9,27.4,26.3,26.8,0,1.6
MX,8.1,27,43.7,18.5,0,2.7
MD,0,0,0,0,0,0
NZ,0,0,0,0,0,0
NG,0,0,0,0,0,0
NO,0,0,0,0,0,0
PE,27.7,23.6,27.3,20.4,0,0.9
PH,20.6,23.1,36.6,19,0,0.7
PL,21.9,33.1,30,14.9,0,0.2
RO,20.4,29.1,27.8,21.3,0,1.5
RU,7.3,16.7,39.6,35.3,0,1
SK,11.4,43.4,37.1,7.8,0,0.2
SI,16.3,22.5,25.2,35.1,0.9,0
ZA,13.9,22,35.6,27.3,0,1.3
ESP,0,0,0,0,0,0
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,0,0,0,0,0,0
UA,0,0,0,0,0,0
MKD,0,0,0,0,0,0
USA,15.7,41,35.1,7.9,0,0.3
