State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,0,0,0,0,0,0
AR,35.9,33.3,20.5,10.2,0,0
BD,24.1,32.1,24.7,17.8,0.7,0.7
BG,23.8,35.1,27.3,13,0.7,0.1
BY,2.6,8,29.6,49.8,0.8,9.2
CL,58.9,26.5,11.1,3.5,0.1,0
CN,7.6,17.7,37.4,35.7,0.2,1.4
CO,67.1,24.2,5.5,1.8,0,1.4
CZ,5.4,13.6,33.2,34.3,0,13.5
SV,25.7,28.5,26.1,18.5,1.2,0
EE,58.4,25.4,11.2,5,0,0
FI,18.7,17.4,27.9,30.7,4.4,1
GER,89.8,7.7,1.8,0.7,0,0
IN,49.9,30.3,15.7,2.8,0.7,0.5
JP,85.9,12.2,1.6,0.3,0,0
KR,45.7,33.9,15.1,4.8,0.1,0.4
LV,50.5,33.3,12.7,3.2,0.1,0.3
MX,14.3,27.5,30.5,22.4,0.7,4
MD,11.2,21.7,40.5,25.9,0.4,0.3
NZ,0,0,0,0,0,0
NG,0,0,0,0,0,0
NO,0,0,0,0,0,0
PE,0,0,0,0,0,0
PH,0,0,0,0,0,0
PL,55.8,28.1,9.8,4.8,0,1.6
RO,10.7,21.3,31.2,35.9,0.6,0.3
RU,7.9,18.3,38.5,34.3,0.7,0.4
SK,68.1,24.6,4,3,0,0.3
SI,26.3,34.5,26.5,12.8,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,0,0,0,0,0,0
UA,0,0,0,0,0,0
MKD,0,0,0,0,0,0
USA,40.4,28,18.2,12.7,0.7,0
