State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,0,0,0,0,0,0
AR,33.1,31.6,23.7,10.5,0.9,0.1
BD,0,0,0,0,0,0
BG,0,0,0,0,0,0
BY,0,0,0,0,0,0
CL,39.6,33.3,18.2,8.1,0.5,0.3
CN,5,11.2,24.1,34.5,0.8,24.3
CO,49.7,28.3,13.4,5.3,0,3.3
CZ,0,0,0,0,0,0
SV,0,0,0,0,0,0
EE,0,0,0,0,0,0
FI,0,0,0,0,0,0
GER,0,0,0,0,0,0
IN,0,0,0,0,0,0
JP,0,0,0,0,0,0
KR,5.7,11.6,31.7,39.7,11.3,0
LV,21.1,25.8,34.5,18.6,0,0
MX,58.7,26,11.4,3.4,0.4,0.1
MD,31.7,41.1,20.4,6.6,0,0.2
NZ,49.1,26.5,18.7,4.7,1,0
NG,69.9,20.1,6.5,3,0,0.5
NO,14.8,24.1,31,29.7,0.3,0.2
PE,9.3,19.9,40.7,29.6,0.5,0
PH,74.6,16.6,6.2,2.5,0.1,0.1
PL,0,0,0,0,0,0
RO,0,0,0,0,0,0
RU,0,0,0,0,0,0
SK,0,0,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,0,0,0,0,0,0
UA,0,0,0,0,0,0
MKD,0,0,0,0,0,0
USA,47,24.1,19.5,8.7,0.7,0
