State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,75.2,20.7,2.9,0.6,0,0.6
AR,0,0,0,0,0,0
BD,82.2,15.6,1.3,0.9,0,0
BG,0,0,0,0,0,0
BY,0,0,0,0,0,0
CL,53.6,28.8,13.6,1.8,0,2.3
CN,0,0,0,0,0,0
CO,75,21.3,3.2,0.3,0,0.2
CZ,63.8,28.2,5.9,2.1,0,0
SV,55.7,36,6.5,1.5,0.1,0.1
EE,0,0,0,0,0,0
FI,86.4,12.4,0.9,0.2,0,0.1
GER,0,0,0,0,0,0
IN,0,0,0,0,0,0
JP,38.8,41.7,13.1,2.2,0,4.3
KR,0,0,0,0,0,0
LV,68.7,26,3.4,1,1,0
MX,0,0,0,0,0,0
MD,0,0,0,0,0,0
NZ,0,0,0,0,0,0
NG,66.9,29.9,2.4,0.4,0,0.4
NO,0,0,0,0,0,0
PE,0,0,0,0,0,0
PH,93.4,5.5,0.4,0.1,0,0.6
PL,49.7,37.8,7,1.5,0,3.9
RO,0,0,0,0,0,0
RU,68.1,27.3,1.4,0.9,2.2,0.1
SK,44.5,36.2,12.2,3.9,0,3.2
SI,0,0,0,0,0,0
ZA,56.2,38.2,4.7,0.4,0.4,0
ESP,0,0,0,0,0,0
SE,0,0,0,0,0,0
SZ,77.5,16.9,2.9,1.4,1.4,0
TR,65.4,28,2.8,2.2,0,1.6
UA,0,0,0,0,0,0
MKD,53.6,24.3,8.3,4.3,0,9.5
USA,0,0,0,0,0,0
